vendorID,lpepPickupDatetime,passengerCount,tripDistance,pickupLongitude,pickupLatitude,dropoffLongitude,dropoffLatitude,totalAmount
2,1421107273.0,1,2.99,-73.82838439941406,40.75553512573242,-73.78858184814453,40.74454879760742,12.8
2,1420135341.0,1,1.17,-73.94978332519531,40.806915283203125,-73.96208953857422,40.805335998535156,7.8
2,1422013244.0,1,1.46,-73.95861053466797,40.67876434326172,-73.98152160644531,40.684852600097656,11.16
1,1422581256.0,2,1.9,-73.96379852294922,40.710601806640625,-73.98693084716797,40.71941375732422,9.3
1,1421074275.0,1,0.8,-73.92543029785156,40.761756896972656,-73.91687774658203,40.76423645019531,6.3
2,1422587241.0,1,1.46,-73.96345520019531,40.710243225097656,-73.93718719482422,40.71275329589844,12.05
1,1421267740.0,1,5.0,-73.94102478027344,40.839908599853516,-73.9786605834961,40.783329010009766,16.5
2,1420251061.0,1,0.81,-73.93903350830078,40.805397033691406,-73.94963836669922,40.80192565917969,6.3
2,1422228183.0,1,1.46,-73.98426055908203,40.671730041503906,-74.00145721435547,40.65731430053711,10.4
2,1420533454.0,1,0.81,-73.9294204711914,40.67932891845703,-73.94574737548828,40.680240631103516,5.8
2,1422150638.0,1,1.03,-73.9548568725586,40.80515670776367,-73.94534301757812,40.8182258605957,8.16
2,1421190441.0,1,4.38,-73.95940399169922,40.72062301635742,-73.97708129882812,40.67517852783203,19.4
2,1420821443.0,1,2.52,-73.95313262939453,40.791622161865234,-73.9822769165039,40.77558135986328,15.18
2,1420478907.0,1,1.32,-73.9578857421875,40.81513214111328,-73.94012451171875,40.811763763427734,8.8
1,1420919993.0,1,1.1,-73.8907699584961,40.74681854248047,-73.87507629394531,40.75284957885742,8.75
2,1420371072.0,1,5.31,-73.92024230957031,40.768348693847656,-73.9891586303711,40.75137710571289,27.45
2,1420134285.0,1,0.79,-73.95052337646484,40.802398681640625,-73.94384002685547,40.795555114746094,5.8
1,1421260863.0,1,1.1,-73.86980438232422,40.74924850463867,-73.86970520019531,40.73545455932617,8.3
2,1420471647.0,1,7.55,-73.92840576171875,40.696529388427734,-73.91387939453125,40.763431549072266,33.2
1,1420995664.0,1,5.0,-73.87489318847656,40.734527587890625,-73.86503601074219,40.7704963684082,15.8
2,1422058998.0,1,9.99,-73.93766021728516,40.843955993652344,-73.97628021240234,40.728721618652344,36.36
2,1422566920.0,1,0.73,-73.84428405761719,40.720916748046875,-73.8481216430664,40.72998046875,5.8
2,1421136603.0,6,1.21,-73.9020767211914,40.862701416015625,-73.8822250366211,40.856868743896484,7.8
2,1420492444.0,5,1.74,-73.94558715820312,40.71160125732422,-73.92705535888672,40.70137405395508,11.3
2,1421489247.0,1,0.99,-73.92487335205078,40.866485595703125,-73.9346923828125,40.854896545410156,6.3
2,1421299148.0,1,2.03,-73.92977142333984,40.68106460571289,-73.9542236328125,40.69100570678711,11.0
